site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
FeCu,8,0,1,0,0,1,0,0,2,1,0,3,0,3,0,1,1,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
FeCu,8,0,1,0,0,1,0,0,2,1,0,3,0,3,1,0,1,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
CuCu,8,0,0,0,0,2,0,0,3,1,0,2,0,3,1,1,1,0,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
FeCu,8,0,1,0,0,1,0,0,2,1,0,3,0,3,1,1,1,0,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
CuCu,8,0,0,0,0,2,0,0,3,1,0,2,0,3,1,0,1,1,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtFe,8,1,1,0,0,0,0,3,0,1,1,1,0,0,3,0,0,3,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtFe,8,1,1,0,0,0,0,3,0,1,1,1,0,0,2,1,0,3,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtFe,8,1,1,0,0,0,0,3,0,1,1,1,0,0,2,0,0,4,0,0.25,0.15625,0.125,0.125,0.28125,0.0625
PtFe,8,1,1,0,0,0,0,3,0,2,0,1,0,0,1,4,0,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
PtFe,8,1,1,0,0,0,0,3,0,2,0,1,0,0,1,3,1,0,1,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeZn,8,0,1,0,0,0,1,0,1,4,0,0,1,3,0,2,0,1,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeCo,8,0,1,1,0,0,0,0,1,3,0,0,2,3,0,2,0,1,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
CoCo,8,0,0,2,0,0,0,0,2,2,0,0,2,3,1,2,0,0,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
CoZn,8,0,0,1,0,0,1,0,2,3,0,0,1,3,1,1,0,1,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeCo,8,0,1,1,0,0,0,0,1,3,0,0,2,3,1,1,0,1,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
FeFe,8,0,2,0,0,0,0,0,0,4,0,0,2,3,1,1,0,1,0,0.25,0.15625,0.375,0.03125,0.03125,0.15625
